series,study,study_short,condition,organism,replicate_idx,replicate_label,classifier,reads,bases,dna_pg,reads_per_fg,bases_per_fg,verified,source,source_detail,provenance_note,fold_reads_vs_round1_mean,fold_bases_vs_round1_mean
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of E. coli lenticule discs extract,Escherichia coli,0.0,rep 1 / Escherichia coli,minimap2_competitive,4.0,15845.0,10.0,0.0004,1.5845,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_ec_r1/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",377.53667291666665,264.6348917218891
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of E. coli lenticule discs extract,Escherichia coli,1.0,rep 2 / Escherichia coli,minimap2_competitive,2.0,21491.0,10.0,0.0002,2.1491,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_ec_r2/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",755.0733458333333,195.11143545360073
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of E. coli lenticule discs extract,Escherichia coli,2.0,rep 3 / Escherichia coli,minimap2_competitive,23.0,52108.0,10.0,0.0023,5.2108,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_ec_r3/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",65.65855181159421,80.47017462449783
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of YSC-2 yeast extract,Saccharomyces cerevisiae,0.0,rep 1 / Saccharomyces cerevisiae,minimap2_competitive,17.0,40487.0,10.0,0.0017,4.0487,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_ysc_r1/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",88.83215833333334,103.5675614230082
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of YSC-2 yeast extract,Saccharomyces cerevisiae,1.0,rep 2 / Saccharomyces cerevisiae,minimap2_competitive,4.0,12343.0,10.0,0.0004,1.2343,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_ysc_r2/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",377.53667291666665,339.7180474222906
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of YSC-2 yeast extract,Saccharomyces cerevisiae,2.0,rep 3 / Saccharomyces cerevisiae,minimap2_competitive,2.0,2379.0,10.0,0.0002,0.2379,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_ysc_r3/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",755.0733458333333,1762.5640434356171
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of E. coli + 2 pg of S. cerevisiae,Escherichia coli,0.0,rep 1 / Escherichia coli,minimap2_competitive,3.0,3314.0,10.0,0.0003,0.3314,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_mix1_r1/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",503.3822305555556,1265.280585194126
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of E. coli + 2 pg of S. cerevisiae,Saccharomyces cerevisiae,1.0,rep 1 / Saccharomyces cerevisiae,minimap2_competitive,3.0,2935.0,2.0,0.0015,1.4675,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_mix1_r1/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",100.6764461111111,285.73355089153887
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of E. coli + 2 pg of S. cerevisiae,Escherichia coli,2.0,rep 2 / Escherichia coli,minimap2_competitive,136.0,78709.0,10.0,0.0136,7.8709,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_mix1_r2/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",11.104019791666667,53.273956718206726
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of E. coli + 2 pg of S. cerevisiae,Saccharomyces cerevisiae,3.0,rep 2 / Saccharomyces cerevisiae,minimap2_competitive,304.0,150773.0,2.0,0.152,75.3865,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_mix1_r2/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",0.9935175603070175,5.562189330096679
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of S. cerevisiae + 2 pg of E. coli,Escherichia coli,0.0,rep 1 / Escherichia coli,minimap2_competitive,117.0,77697.0,2.0,0.0585,38.8485,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_mix2_r1/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",2.581447336182336,10.79356953121313
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of S. cerevisiae + 2 pg of E. coli,Saccharomyces cerevisiae,1.0,rep 1 / Saccharomyces cerevisiae,minimap2_competitive,349.0,256411.0,10.0,0.0349,25.6411,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_mix2_r1/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",4.32706788443171,16.353198027125718
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of S. cerevisiae + 2 pg of E. coli,Escherichia coli,2.0,rep 2 / Escherichia coli,minimap2_competitive,217.0,101728.0,2.0,0.1085,50.864,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_mix2_r2/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",1.3918402688172042,8.243826398500577
prior study,B. Raghavendra et al. 2023,Basapathi Raghavendra et al.,10 pg of S. cerevisiae + 2 pg of E. coli,Saccharomyces cerevisiae,3.0,rep 2 / Saccharomyces cerevisiae,minimap2_competitive,20.0,7488.0,10.0,0.002,0.7488,True,minimap2_reanalysis_this_pipeline,"Raghavendra et al. 2023 reads (Zenodo 8208597, fastq_pass) run through THIS pipeline: minimap2 -ax map-ont competitive assignment against E. coli NCTC 9001 (GCA_900706755.1) and S. cerevisiae S288C (GCF_000146045.2). Counts from results_raghavendra/raghavendra_2023_mix2_r2/competitive/.","Like-for-like variant: counted exactly as this study's own data, removing the mapping-vs-classification asymmetry. Direct alignment to a known reference is markedly more sensitive than Kraken2 against PlusPF-8 - over all 14 rows this variant recovers 1201 target reads against 437 for kraken2_q10 (2.75x). Comparing this study's mapping counts to Kraken2-based prior-study counts therefore overstates the improvement; this is the honest comparison. S. cerevisiae strain is an assumption (YSC-2 carries no strain designation); human reads are deliberately excluded, making these counts an upper bound.",75.50733458333333,559.9812846331909
Round 1,This study,This study,"D6311 community DNA + lambda carrier, depletion-mode adaptive sampling",All organisms,1.0,replicate 1,minimap2_competitive,247765.0,639058259.0,1206.72,0.2053210355,529.582885,True,pipeline_run,results/lowinput_s1_r1/competitive/lowinput_s1_r1.metrics.tsv,Live pipeline output; 'All organisms' row of lowinput_s1_r1.metrics.tsv. Supersedes the legacy_spreadsheet seed value for experiment lowinput_s1.,0.7355051020413672,0.7917816036168414
Round 1,This study,This study,"D6311 community DNA + lambda carrier, depletion-mode adaptive sampling",All organisms,2.0,replicate 2,minimap2_competitive,140008.0,419237175.0,1000.0,0.140008,419.237175,True,pipeline_run,results/lowinput_s1_r2/competitive/lowinput_s1_r2.metrics.tsv,Live pipeline output; 'All organisms' row of lowinput_s1_r2.metrics.tsv. Supersedes the legacy_spreadsheet seed value for experiment lowinput_s1.,1.078614573214864,1.0001832159405553
Round 1,This study,This study,"D6311 community DNA + lambda carrier, depletion-mode adaptive sampling",All organisms,3.0,replicate 3,minimap2_competitive,144407.0,414421181.0,1340.64,0.107714972,309.1218978,True,pipeline_run,results/lowinput_s1_r3/competitive/lowinput_s1_r3.metrics.tsv,Live pipeline output; 'All organisms' row of lowinput_s1_r3.metrics.tsv. Supersedes the legacy_spreadsheet seed value for experiment lowinput_s1.,1.401984017288392,1.356468075919445
Round 2,This study,This study,"D6321 whole cells, post-extraction, depletion-mode adaptive sampling",All organisms,1.0,replicate 1,minimap2_competitive,30364.0,63905650.0,260.0,0.1167846154,245.7909615,True,pipeline_run,results/lowinput_s2_r1/competitive/lowinput_s2_r1.metrics.tsv,Live pipeline output; 'All organisms' row of lowinput_s2_r1.metrics.tsv. Supersedes the legacy_spreadsheet seed value for experiment lowinput_s2.,1.293104135758165,1.705978052953478
Round 2,This study,This study,"D6321 whole cells, post-extraction, depletion-mode adaptive sampling",All organisms,2.0,replicate 2,minimap2_competitive,72101.0,161923389.0,320.0,0.225315625,506.0105906,True,pipeline_run,results/lowinput_s2_r2/competitive/lowinput_s2_r2.metrics.tsv,Live pipeline output; 'All organisms' row of lowinput_s2_r2.metrics.tsv. Supersedes the legacy_spreadsheet seed value for experiment lowinput_s2.,0.6702361150793101,0.828666422645687
Round 2,This study,This study,"D6321 whole cells, post-extraction, depletion-mode adaptive sampling",All organisms,3.0,replicate 3,minimap2_competitive,70716.0,161166963.0,400.0,0.17679,402.9174075,True,pipeline_run,results/lowinput_s2_r3/competitive/lowinput_s2_r3.metrics.tsv,Live pipeline output; 'All organisms' row of lowinput_s2_r3.metrics.tsv. Supersedes the legacy_spreadsheet seed value for experiment lowinput_s2.,0.8542036832777118,1.040694638970974
