study	study_short	condition	organism	replicate_idx	replicate_label	row_type	classifier	reads	bases	dna_pg	dna_basis	reads_per_fg	bases_per_fg	verified	source	source_detail	provenance_note
Zorzano et al. 2025	Zorzano et al.	Microbialites (2800 a), 10.45 MGy	metagenome	0	pooled (per 1.5 g)	sample	published_squeezemeta	938	168640	1908.727533460803	back_calculated_from_1.046_Mbp_per_ng	0.0004914268713352022	0.08835205499143764	TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' G7 (hits), E7/F7 (total bases/reads), O7 (DNA fg); adapted from Zorzano et al. 2025 Supplementary Tables 1-2	Reads are the paper's own SqueezeMeta-classified 'Reported Hits'. The paper does NOT publish hit bases, so bases here are a DERIVED ESTIMATE: hits x mean read length (179.8 bp = published total bases / published total reads), i.e. hits are assumed to have the same length distribution as non-hits. That assumption is known to be wrong (our Kraken2 minQ1 hits average ~5-9x the overall mean read length), so treat this bases value as an upper-bound sketch. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Microbialites (2800 a), 10.45 MGy	metagenome	0	pooled (per 1.5 g)	sample	kraken2_q1	691	1045059	1908.727533460803	back_calculated_from_1.046_Mbp_per_ng	0.00036202128794522894	0.547516071141466	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H7 (hits), I7 (hit bases), O7 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1	Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Microbialites (2800 a), 10.45 MGy	metagenome	0	pooled (per 1.5 g)	sample	legacy_hybrid_workbook	938	1045059	1908.727533460803	back_calculated_from_1.046_Mbp_per_ng	0.0004914268713352022	0.547516071141466	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Read Comparison'!E (= 'Zorzano et al. 2025'!Q, from G7) paired with 'Per Base Comparison'!E (= 'Zorzano et al. 2025'!R, from I7)	DEFECT (a) AXIS INCONSISTENCY, reproduced verbatim for audit: the workbook figure takes the x value from the paper's SqueezeMeta 'Reported Hits' (col G) and the y value from OUR Kraken2 minQ1 hit bases (col I). Different classifiers: here 938 reported hits vs 691 Kraken2 hits. Provided only so the legacy figure can be reproduced; do not use for publication.
Zorzano et al. 2025	Zorzano et al.	Stromatolites (541 Ma)	metagenome	0	pooled (per 1.5 g)	sample	published_squeezemeta	858	173879	2145.330783938815	back_calculated_from_1.046_Mbp_per_ng	0.0003999383248604287	0.08104997201445978	TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' G8 (hits), E8/F8 (total bases/reads), O8 (DNA fg); adapted from Zorzano et al. 2025 Supplementary Tables 1-2	Reads are the paper's own SqueezeMeta-classified 'Reported Hits'. The paper does NOT publish hit bases, so bases here are a DERIVED ESTIMATE: hits x mean read length (202.7 bp = published total bases / published total reads), i.e. hits are assumed to have the same length distribution as non-hits. That assumption is known to be wrong (our Kraken2 minQ1 hits average ~5-9x the overall mean read length), so treat this bases value as an upper-bound sketch. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Stromatolites (541 Ma)	metagenome	0	pooled (per 1.5 g)	sample	kraken2_q1	683	1355570	2145.330783938815	back_calculated_from_1.046_Mbp_per_ng	0.0003183658227035814	0.6318699242786147	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H8 (hits), I8 (hit bases), O8 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1	Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Stromatolites (541 Ma)	metagenome	0	pooled (per 1.5 g)	sample	legacy_hybrid_workbook	858	1355570	2145.330783938815	back_calculated_from_1.046_Mbp_per_ng	0.0003999383248604287	0.6318699242786147	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Read Comparison'!E (= 'Zorzano et al. 2025'!Q, from G8) paired with 'Per Base Comparison'!E (= 'Zorzano et al. 2025'!R, from I8)	DEFECT (a) AXIS INCONSISTENCY, reproduced verbatim for audit: the workbook figure takes the x value from the paper's SqueezeMeta 'Reported Hits' (col G) and the y value from OUR Kraken2 minQ1 hit bases (col I). Different classifiers: here 858 reported hits vs 683 Kraken2 hits. Provided only so the legacy figure can be reproduced; do not use for publication.
Zorzano et al. 2025	Zorzano et al.	Stromatolites (541 Ma), 10.45 MGy	metagenome	0	pooled (per 1.5 g)	sample	published_squeezemeta	697	142801	2631.11759082218	back_calculated_from_1.046_Mbp_per_ng	0.00026490644220207555	0.05427389505437387	TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' G9 (hits), E9/F9 (total bases/reads), O9 (DNA fg); adapted from Zorzano et al. 2025 Supplementary Tables 1-2	Reads are the paper's own SqueezeMeta-classified 'Reported Hits'. The paper does NOT publish hit bases, so bases here are a DERIVED ESTIMATE: hits x mean read length (204.9 bp = published total bases / published total reads), i.e. hits are assumed to have the same length distribution as non-hits. That assumption is known to be wrong (our Kraken2 minQ1 hits average ~5-9x the overall mean read length), so treat this bases value as an upper-bound sketch. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Stromatolites (541 Ma), 10.45 MGy	metagenome	0	pooled (per 1.5 g)	sample	kraken2_q1	653	1817749	2631.11759082218	back_calculated_from_1.046_Mbp_per_ng	0.00024818351041313533	0.6908657394639607	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H9 (hits), I9 (hit bases), O9 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1	Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Stromatolites (541 Ma), 10.45 MGy	metagenome	0	pooled (per 1.5 g)	sample	legacy_hybrid_workbook	697	1817749	2631.11759082218	back_calculated_from_1.046_Mbp_per_ng	0.00026490644220207555	0.6908657394639607	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Read Comparison'!E (= 'Zorzano et al. 2025'!Q, from G9) paired with 'Per Base Comparison'!E (= 'Zorzano et al. 2025'!R, from I9)	DEFECT (a) AXIS INCONSISTENCY, reproduced verbatim for audit: the workbook figure takes the x value from the paper's SqueezeMeta 'Reported Hits' (col G) and the y value from OUR Kraken2 minQ1 hit bases (col I). Different classifiers: here 697 reported hits vs 653 Kraken2 hits. Provided only so the legacy figure can be reproduced; do not use for publication.
Zorzano et al. 2025	Zorzano et al.	Oxide iron formation (2930 Ma)	metagenome	0	pooled (per 1.5 g)	sample	published_squeezemeta	254	50075	3147.738049713193	back_calculated_from_1.046_Mbp_per_ng	8.069286452319096e-05	0.015908248783459793	TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' G10 (hits), E10/F10 (total bases/reads), O10 (DNA fg); adapted from Zorzano et al. 2025 Supplementary Tables 1-2	Reads are the paper's own SqueezeMeta-classified 'Reported Hits'. The paper does NOT publish hit bases, so bases here are a DERIVED ESTIMATE: hits x mean read length (197.1 bp = published total bases / published total reads), i.e. hits are assumed to have the same length distribution as non-hits. That assumption is known to be wrong (our Kraken2 minQ1 hits average ~5-9x the overall mean read length), so treat this bases value as an upper-bound sketch. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Oxide iron formation (2930 Ma)	metagenome	0	pooled (per 1.5 g)	sample	kraken2_q1	663	2198489	3147.738049713193	back_calculated_from_1.046_Mbp_per_ng	0.00021062743771210868	0.6984345473729353	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H10 (hits), I10 (hit bases), O10 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1	Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Oxide iron formation (2930 Ma)	metagenome	0	pooled (per 1.5 g)	sample	legacy_hybrid_workbook	254	2198489	3147.738049713193	back_calculated_from_1.046_Mbp_per_ng	8.069286452319096e-05	0.6984345473729353	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Read Comparison'!E (= 'Zorzano et al. 2025'!Q, from G10) paired with 'Per Base Comparison'!E (= 'Zorzano et al. 2025'!R, from I10)	DEFECT (a) AXIS INCONSISTENCY, reproduced verbatim for audit: the workbook figure takes the x value from the paper's SqueezeMeta 'Reported Hits' (col G) and the y value from OUR Kraken2 minQ1 hit bases (col I). Different classifiers: here 254 reported hits vs 663 Kraken2 hits. Provided only so the legacy figure can be reproduced; do not use for publication.
Zorzano et al. 2025	Zorzano et al.	Oxide iron formation (2930 Ma), 10.45 MGy	metagenome	0	pooled (per 1.5 g)	sample	published_squeezemeta	59	8235	530.2868068833651	back_calculated_from_1.046_Mbp_per_ng	0.00011126054662147546	0.015529332227590684	TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' G11 (hits), E11/F11 (total bases/reads), O11 (DNA fg); adapted from Zorzano et al. 2025 Supplementary Tables 1-2	Reads are the paper's own SqueezeMeta-classified 'Reported Hits'. The paper does NOT publish hit bases, so bases here are a DERIVED ESTIMATE: hits x mean read length (139.6 bp = published total bases / published total reads), i.e. hits are assumed to have the same length distribution as non-hits. That assumption is known to be wrong (our Kraken2 minQ1 hits average ~5-9x the overall mean read length), so treat this bases value as an upper-bound sketch. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Oxide iron formation (2930 Ma), 10.45 MGy	metagenome	0	pooled (per 1.5 g)	sample	kraken2_q1	124	317393	530.2868068833651	back_calculated_from_1.046_Mbp_per_ng	0.00023383572510276199	0.5985308249801689	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H11 (hits), I11 (hit bases), O11 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1	Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Oxide iron formation (2930 Ma), 10.45 MGy	metagenome	0	pooled (per 1.5 g)	sample	legacy_hybrid_workbook	59	317393	530.2868068833651	back_calculated_from_1.046_Mbp_per_ng	0.00011126054662147546	0.5985308249801689	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Read Comparison'!E (= 'Zorzano et al. 2025'!Q, from G11) paired with 'Per Base Comparison'!E (= 'Zorzano et al. 2025'!R, from I11)	DEFECT (a) AXIS INCONSISTENCY, reproduced verbatim for audit: the workbook figure takes the x value from the paper's SqueezeMeta 'Reported Hits' (col G) and the y value from OUR Kraken2 minQ1 hit bases (col I). Different classifiers: here 59 reported hits vs 124 Kraken2 hits. Provided only so the legacy figure can be reproduced; do not use for publication.
Zorzano et al. 2025	Zorzano et al.	Carbonate formation (2930 Ma)	metagenome	0	pooled (per 1.5 g)	sample	published_squeezemeta	406	59730	2180.46845124283	back_calculated_from_1.046_Mbp_per_ng	0.0001861985206750352	0.02739319615743806	TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' G12 (hits), E12/F12 (total bases/reads), O12 (DNA fg); adapted from Zorzano et al. 2025 Supplementary Tables 1-2	Reads are the paper's own SqueezeMeta-classified 'Reported Hits'. The paper does NOT publish hit bases, so bases here are a DERIVED ESTIMATE: hits x mean read length (147.1 bp = published total bases / published total reads), i.e. hits are assumed to have the same length distribution as non-hits. That assumption is known to be wrong (our Kraken2 minQ1 hits average ~5-9x the overall mean read length), so treat this bases value as an upper-bound sketch. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Carbonate formation (2930 Ma)	metagenome	0	pooled (per 1.5 g)	sample	kraken2_q1	645	1341325	2180.46845124283	back_calculated_from_1.046_Mbp_per_ng	0.00029580799466846726	0.6151545092227625	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'Zorzano et al. 2025' H12 (hits), I12 (hit bases), O12 (DNA fg); Zorzano et al. 2025 raw reads reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8 database, minQ 1	Both axes come from the same Kraken2 minQ1 reanalysis of the published raw reads, so reads/fg and bases/fg are internally consistent. This is the plot default. DNA mass was below the fluorometer detection limit; the workbook back-calculates it from the paper's main-text yield of 1.046 Mbp per ng extracted DNA (dna_ng = total_bases / 1.046e6).
Zorzano et al. 2025	Zorzano et al.	Carbonate formation (2930 Ma)	metagenome	0	pooled (per 1.5 g)	sample	legacy_hybrid_workbook	406	1341325	2180.46845124283	back_calculated_from_1.046_Mbp_per_ng	0.0001861985206750352	0.6151545092227625	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Read Comparison'!E (= 'Zorzano et al. 2025'!Q, from G12) paired with 'Per Base Comparison'!E (= 'Zorzano et al. 2025'!R, from I12)	DEFECT (a) AXIS INCONSISTENCY, reproduced verbatim for audit: the workbook figure takes the x value from the paper's SqueezeMeta 'Reported Hits' (col G) and the y value from OUR Kraken2 minQ1 hit bases (col I). Different classifiers: here 406 reported hits vs 645 Kraken2 hits. Provided only so the legacy figure can be reproduced; do not use for publication.
Zorzano et al. 2025	Zorzano et al.	All conditions (average reported value)	metagenome	0	aggregate	aggregate	published_total_bases				n/a		1.046	TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Base Comparison'!E6; Zorzano et al. 2025 main text, 1.046 Mbp per ng extracted DNA	Aggregate, not a sample. The paper's headline yield of 1.046 Mbp/ng == 1.046 bases/fg, over ALL basecalled bases including unclassified and very low quality reads. Never plotted; kept because it is the most conservative published comparator (this study is ~85x higher than it).
Zorzano et al. 2025	Zorzano et al.	All conditions (Kraken2 minQ1 hits, summed)	metagenome	1	aggregate	aggregate	kraken2_q1		12592526	29788.57552581262	sum_of_per_condition_dna		0.4227300492797392	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' 'Per Base Comparison'!D7:E7 = SUM of 'Zorzano et al. 2025'!I4:I12	Aggregate, not a sample; never plotted. NOTE the workbook labels this row 'hits, assuming same length as non-hits', but the formula is SUM('Zorzano et al. 2025'!I4:I12) and column I is the measured Kraken2 minQ1 hit-base count, not a read-length extrapolation. The label is stale; the number is a direct sum of measured Kraken2 bases.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli lenticule discs extract	Escherichia coli	0	rep 1 / Escherichia coli	sample	kraken2_q10	4	15845	10	stated_input_mass	0.0004	1.5845	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H3/I3/J3; fastq_pass file ANP471_pass_4d26e51d_78259c2a_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 4 pass reads where the paper's Table 2 reports 4. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 224.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli lenticule discs extract	Escherichia coli	0	rep 1 / Escherichia coli	sample	published	4		10	stated_input_mass	0.0004		TRUE	published_table	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' E3 (= Basapathi Raghavendra et al. 2023 Table 2), J3	DEFECT (c), published side: the paper reports pass READS only, no base counts, so bases/fg is undefined and these rows cannot be plotted on the y axis. Published 4 vs our Kraken2 minQ10 4 for the same file.
B. Raghavendra et al. 2023	Basapathi Raghavendra et al.	10 pg of E. coli lenticule discs extract	Escherichia coli	1	rep 2 / Escherichia coli	sample	kraken2_q10	2	21491	10	stated_input_mass	0.0002	2.1491	TRUE	kraken2_reanalysis	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'B. Raghavendra et al. 2023' H4/I4/J4; fastq_pass file ANP315_pass_cd07c6d0_7c99cdb7_0.fastq.gz from https://zenodo.org/records/8208597 reanalysed with wf-metagenomics v2.14.1, kraken2, PlusPF-8, minQ 10	DEFECT (c): our Kraken2 minQ10 reanalysis of the authors' own deposited reads gives 2 pass reads where the paper's Table 2 reports 3. Both are kept in this file; the plot uses this reanalysis by default because it is the only variant that also yields base counts. Sample total reads in the deposited file: 73.
